gene_id	diff	count_min
b5v5_05820	-7	603
b5v5_02525	43	603
b5v5_00900	-15	603
b5v5_02303	-14	603
b5v5_01321	-14	603
b5v5_01499	75.5	264
b5v5_05432	-7	603
b5v5_00768	-5	603
b5v5_00959	-11	603
b5v5_01488	-15	603
b5v5_04988	-17	603
b5v5_12380	-14	603
b5v5_00512	-17	603
b5v5_00432	16	603
b5v5_00417	-14	602
b5v5_00047	10.5	602
b5v5_01056	-13	602
b5v5_00636	-5	602
b5v5_00401	-7	602
b5v5_00977	-14	602
b5v5_01067	-6	602
b5v5_01130	9	602
b5v5_00467	-7	602
b5v5_02128	-18	602
b5v5_00677	34	561
b5v5_03197	-2	602
b5v5_01181	-17	602
b5v5_00286	-5	601
b5v5_01019	7	601
b5v5_04371	-2	601
b5v5_02344	-15.5	601
b5v5_00522	-15	463
b5v5_01458	-13	601
b5v5_01209	-8	601
b5v5_00354	-6	601
b5v5_02243	-1	601
b5v5_04640	-3	601
b5v5_00542	-4	601
b5v5_00939	-8	601
b5v5_01570	-12	601
b5v5_01783	39	601
b5v5_01183	-15	601
b5v5_02412	-6	601
b5v5_02192	-2.5	601
b5v5_01994	9	600
b5v5_00262	-7	600
b5v5_05267	-11	600
b5v5_00972	-2	600
b5v5_02507	27	600
b5v5_00682	-6.5	600
b5v5_01212	-12	600
b5v5_04424	-1	600
b5v5_02216	-9	600
b5v5_03991	-11	599
b5v5_00661	-4	599
b5v5_04014	10	599
b5v5_02679	-8.5	599
b5v5_01603	8	599
b5v5_02160	-15	599
b5v5_00944	-15	599
b5v5_00775	-3	599
b5v5_02188	84	535
b5v5_00765	13	599
b5v5_00660	-14	599
b5v5_00810	-5	599
b5v5_00406	-18.5	599
b5v5_04421	-10	599
b5v5_00933	-11	599
b5v5_02175	-4	599
b5v5_01471	-10	599
b5v5_00664	2	599
b5v5_03490	-2	599
b5v5_02074	0	536
b5v5_02454	-16	598
b5v5_02349	-15	598
b5v5_01063	-16	598
b5v5_03206	-16	598
b5v5_00311	-15	598
b5v5_00929	-5	598
b5v5_02703	28	598
b5v5_01630	-11	577
b5v5_00917	-14	598
b5v5_02258	-11	598
b5v5_01123	-7	598
b5v5_01693	0	598
b5v5_03303	-14	598
b5v5_00819	-13	598
b5v5_01295	-18	598
b5v5_01082	-7	598
b5v5_01957	-20	597
b5v5_00603	-17	437
b5v5_00235	-19	597
b5v5_01356	3	597
b5v5_01110	1	597
b5v5_03733	13	597
b5v5_00672	29	597
b5v5_00689	30	597
b5v5_00633	-16	597
b5v5_00726	-11	597
b5v5_01812	1	597
b5v5_00500	-11	597
b5v5_01425	49	597
b5v5_04248	-15	584
b5v5_02182	-11	411
b5v5_08295	-12	597
b5v5_01449	0	596
b5v5_01819	7	596
b5v5_02574	-14	596
b5v5_01151	8	596
b5v5_00177	12	596
b5v5_00760	-10	596
b5v5_01397	-9	596
b5v5_01006	-16	380
b5v5_01174	-7	596
b5v5_05200	-10	432
b5v5_00143	-4	596
b5v5_00818	-15	596
b5v5_03133	-10	596
b5v5_00261	-18	595
b5v5_02012	-12	595
b5v5_01842	4	595
b5v5_02709	-9	595
b5v5_03382	-7	595
b5v5_00757	15	595
b5v5_00275	-16	595
b5v5_00331	61	595
b5v5_00829	14	491
b5v5_01372	-10	595
b5v5_00421	6	595
b5v5_01184	33	595
b5v5_01837	-13	595
b5v5_02112	-19	595
b5v5_00850	-13	595
b5v5_03288	-7	595
b5v5_01112	-11	595
b5v5_01627	-12	595
b5v5_01648	-15	595
b5v5_00526	-15	594
b5v5_01080	12	594
b5v5_01561	-16	594
b5v5_03052	-12	594
b5v5_01313	-4	594
b5v5_02541	6	594
b5v5_02520	-4	594
b5v5_01861	-9	594
b5v5_00863	-16	470
b5v5_03683	60	381
b5v5_01950	4	594
b5v5_01406	0	594
b5v5_01362	-12.5	594
b5v5_02692	-15	594
b5v5_02772	-11	594
b5v5_01586	7	594
b5v5_00349	-17	594
b5v5_03442	-10	594
b5v5_01111	-17	594
b5v5_00216	-7	594
b5v5_02255	-15	593
b5v5_01640	-6	593
b5v5_00733	21	593
b5v5_00327	-9	593
b5v5_01020	-16	593
b5v5_02621	-7	593
b5v5_01053	25	593
b5v5_05907	-16	593
b5v5_04215	-9	593
b5v5_00295	-5	593
b5v5_04443	-13	593
b5v5_02328	-13	593
b5v5_01069	-14	593
b5v5_00771	-7	593
b5v5_00731	-9	593
b5v5_04353	6	593
b5v5_03911	-7	550
b5v5_00499	-12	592
b5v5_02145	77	592
b5v5_00963	-15	592
b5v5_01137	-4	592
b5v5_00928	-13	592
b5v5_02611	-4	592
b5v5_01350	-12	592
b5v5_01969	1	592
b5v5_01529	-16	592
b5v5_00606	-13	592
b5v5_03840	-14.5	592
b5v5_03289	-5.5	592
b5v5_01371	6	592
b5v5_01051	-22	592
b5v5_03228	-11.5	592
b5v5_06266	-8	592
b5v5_03546	-9	592
b5v5_01799	-5	592
b5v5_01109	-12	592
b5v5_05162	-3	592
